time,"coordinates [x,y]",elevation,azimuth
20250829_104730,"[1768, 1047]",19,354
20250829_104740,"[1776, 1079]",18,352
20250829_104750,"[1791, 1053]",17,354
20250829_104800,"[1816, 1055]",14,354
20250829_104810,"[1810, 1021]",15,356
20250829_104820,"[1807, 1029]",15,355
20250829_104830,"[1821, 1008]",14,357
20250829_104840,"[1807, 1017]",15,356
20250829_104850,"[1816, 1042]",14,355
20250829_104900,"[1805, 1039]",15,355
20250829_104910,"[1773, 1051]",18,354
20250829_104920,"[1752, 1108]",20,349
20250829_104930,"[1750, 1109]",20,349
20250829_104940,"[1743, 1104]",21,350
20250829_104950,"[1727, 1116]",22,348
20250829_105000,"[1733, 1145]",21,347
20250829_105010,"[1728, 1152]",21,346
20250829_105020,"[1740, 1151]",20,346
20250829_105030,"[1741, 1132]",20,348
20250829_105040,"[1724, 1131]",22,347
20250829_105050,"[1713, 1147]",23,346
20250829_105100,"[1702, 1127]",24,347
20250829_105110,"[1725, 1136]",22,347
20250829_105120,"[1728, 1132]",22,347
20250829_105130,"[1730, 1133]",21,347
20250829_105140,"[1738, 1123]",21,348
20250829_105150,"[1740, 1118]",21,349
20250829_105200,"[1772, 1082]",18,351
20250829_105210,"[1794, 1063]",16,353
20250829_105220,"[1797, 1071]",16,352
20250829_105230,"[1804, 1075]",15,352
20250829_105240,"[1808, 1079]",14,352
20250829_105250,"[1812, 1092]",14,351
20250829_105300,"[767, 1787]",15,257
20250829_105310,"[1085, 732]",68,61
20250829_105320,"[1085, 732]",68,61
20250829_105330,"[158, 1281]",14,202
20250829_105340,"[1084, 731]",68,62
20250829_105350,"[1084, 731]",68,62
20250829_105400,"[1813, 1087]",14,352
20250829_105410,"[1803, 1080]",15,352
20250829_105420,"[1784, 1075]",17,352
20250829_105430,"[1737, 1165]",20,345
20250829_105440,"[1725, 1203]",20,342
20250829_105450,"[1717, 1271]",18,338
20250829_105500,"[1723, 1272]",18,338
20250829_105510,"[1717, 1248]",19,339
20250829_105520,"[1684, 1256]",22,338
20250829_105530,"[1704, 1279]",19,337
20250829_105540,"[1729, 1281]",17,337
20250829_105550,"[1750, 1237]",16,341
20250829_105600,"[1779, 1177]",15,345
20250829_105610,"[1789, 1124]",16,349
20250829_105620,"[1754, 1139]",19,347
20250829_105630,"[1757, 1093]",19,351
20250829_105640,"[1755, 1085]",20,351
20250829_105650,"[1760, 1027]",20,355
20250829_105700,"[1779, 1007]",18,357
20250829_105710,"[1801, 1010]",16,357
20250829_105720,"[1819, 1006]",14,357
20250829_105730,"[1793, 1047]",16,354
20250829_105740,"[1788, 1044]",17,354
20250829_105750,"[1755, 1066]",20,352
20250829_105800,"[1760, 1103]",19,350
20250829_105810,"[1735, 1117]",21,349
20250829_105820,"[1693, 1108]",25,349
20250829_105830,"[1653, 1124]",29,347
20250829_105840,"[1634, 1187]",29,341
20250829_105850,"[1627, 1240]",28,337
20250829_105900,"[1663, 1236]",25,339
20250829_105910,"[1703, 1221]",22,341
20250829_105920,"[1741, 1192]",19,343
20250829_105930,"[1788, 1160]",15,346
20250829_105940,"[1772, 1153]",17,347
20250829_105950,"[1778, 1170]",16,346
20250829_110000,"[1763, 1214]",16,342
20250829_110010,"[1781, 1210]",14,343
20250829_110020,"[1755, 1165]",18,346
20250829_110030,"[1760, 1160]",18,346
20250829_110040,"[1768, 1119]",18,349
20250829_110050,"[1752, 1136]",19,347
20250829_110100,"[1729, 1181]",20,344
20250829_110110,"[1721, 1181]",21,344
20250829_110120,"[1703, 1205]",22,342
20250829_110130,"[1679, 1225]",24,340
20250829_110140,"[1693, 1183]",24,343
20250829_110150,"[1636, 1184]",29,342
20250829_110200,"[1647, 1218]",27,339
20250829_110210,"[1626, 1176]",30,342
20250829_110220,"[1651, 1133]",29,346
20250829_110230,"[1689, 1119]",26,348
20250829_110240,"[1669, 1133]",27,346
20250829_110250,"[1672, 1141]",27,346
20250829_110300,"[1718, 1154]",22,346
20250829_110310,"[1756, 1182]",18,344
20250829_110320,"[1794, 1135]",15,348
20250829_110330,"[1776, 1157]",16,346
20250829_110340,"[1751, 1154]",19,346
20250829_110350,"[1712, 1154]",23,346
20250829_110400,"[1675, 1125]",27,347
20250829_110410,"[1693, 1154]",24,345
20250829_110420,"[1698, 1165]",24,344
20250829_110430,"[1655, 1146]",28,345
20250829_110440,"[1675, 1139]",26,346
20250829_110450,"[1711, 1154]",23,346
20250829_110500,"[1751, 1122]",20,348
20250829_110510,"[1775, 1101]",18,350
20250829_110520,"[1786, 1045]",17,354
20250829_110530,"[1776, 1022]",18,356
20250829_110540,"[1756, 1021]",20,356
20250829_110550,"[1737, 1034]",22,355
20250829_110600,"[1744, 1113]",20,349
20250829_110610,"[1729, 1199]",20,343
20250829_110620,"[1698, 1140]",24,346
20250829_110630,"[1690, 1123]",25,347
20250829_110640,"[1685, 1159]",25,345
20250829_110650,"[1727, 1187]",20,344
20250829_110700,"[1752, 1162]",19,346
20250829_110710,"[1738, 1107]",21,349
20250829_110720,"[1755, 1068]",20,352
20250829_110730,"[1752, 1022]",21,356
20250829_110740,"[1712, 1071]",24,352
20250829_110750,"[1748, 1109]",20,349
20250829_110800,"[1690, 1096]",26,349
20250829_110810,"[1656, 1136]",28,346
20250829_110820,"[1664, 1188]",26,342
20250829_110830,"[1690, 1156]",25,345
20250829_110840,"[1695, 1118]",25,348
20250829_110850,"[1691, 1101]",26,349
20250829_110900,"[1667, 1130]",27,346
20250829_110910,"[1700, 1146]",24,346
20250829_110920,"[1728, 1114]",22,349
20250829_110930,"[1746, 1072]",21,352
20250829_110940,"[1777, 1024]",18,356
20250829_110950,"[1787, 1021]",17,356
20250829_111000,"[1802, 1023]",16,356
20250829_111010,"[1821, 1025]",14,356
20250829_111020,"[1821, 1016]",14,356
20250829_111030,"[847, 512]",51,104
20250829_111040,"[780, 466]",45,110
20250829_111050,"[297, 1485]",16,218
20250829_111100,"[819, 544]",53,109
20250829_111110,"[1061, 725]",69,67
20250829_111120,"[1790, 1040]",17,354
20250829_111130,"[1767, 1059]",19,353
20250829_111140,"[1756, 1158]",18,346
20250829_111150,"[1333, 522]",41,50
20250829_111200,"[1111, 390]",40,75
20250829_111210,"[819, 599]",57,111
20250829_111220,"[541, 418]",31,128
20250829_111230,"[823, 639]",61,113
20250829_111240,"[538, 431]",32,129
20250829_111250,"[804, 671]",63,118
20250829_111300,"[640, 488]",42,124
20250829_111310,"[525, 463]",34,131
20250829_111320,"[1059, 724]",69,67
20250829_111330,"[1058, 724]",69,67
20250829_111340,"[1058, 724]",69,67
20250829_111350,"[1058, 724]",69,67
20250829_111400,"[637, 493]",42,125
20250829_111410,"[1056, 725]",69,68
20250829_111420,"[559, 519]",39,132
20250829_111430,"[607, 584]",46,133
20250829_111440,"[947, 387]",41,91
20250829_111450,"[695, 408]",38,116
20250829_111500,"[948, 405]",43,91
20250829_111510,"[949, 415]",44,91
20250829_111520,"[852, 1808]",15,263
20250829_111530,"[685, 448]",41,118
20250829_111540,"[959, 426]",45,90
20250829_111550,"[941, 505]",52,92
20250829_111600,"[942, 518]",53,92
20250829_111610,"[943, 533]",54,92
20250829_111620,"[943, 545]",55,92
20250829_111630,"[915, 448]",46,95
20250829_111640,"[760, 431]",42,111
20250829_111650,"[983, 551]",56,87
20250829_111700,"[952, 391]",42,91
20250829_111710,"[954, 400]",42,91
20250829_111720,"[948, 644]",64,92
20250829_111730,"[949, 661]",65,92
20250829_111740,"[767, 407]",40,109
20250829_111750,"[917, 554]",56,96
20250829_111800,"[901, 442]",46,96
20250829_111810,"[954, 738]",72,92
20250829_111820,"[784, 397]",40,107
20250829_111830,"[973, 491]",50,88
20250829_111840,"[888, 503]",51,99
20250829_111850,"[799, 413]",42,106
20250829_111900,"[799, 422]",42,107
20250829_111910,"[1025, 416]",44,83
20250829_111920,"[799, 443]",44,107
20250829_111930,"[891, 560]",56,100
20250829_111940,"[1032, 450]",46,82
20250829_111950,"[797, 478]",47,109
20250829_112000,"[1039, 475]",48,81
20250829_112010,"[1040, 487]",49,80
20250829_112020,"[810, 463]",46,107
