S 25/09/01 12:17:09
D 4125  34.93  43.18
D 4130  29.33  41.01
D 4135  28.00  41.41
D 4140  27.72  41.05
D 4145  30.08  39.84
D 4150  33.39  38.31
D 4155  37.28  37.64
D 4160  38.22  38.53
D 4165  38.64  38.07
D 4170  40.15  38.75
D 4175  37.65  39.23
D 4180  33.30  40.28
D 4185  32.92  41.13
D 4190  31.38  41.92
D 4195  31.98  41.12
D 4200  33.11  39.02
D 4205  35.16  37.80
D 4210  35.73  38.09
D 4215  36.22  39.05
D 4220  37.63  41.44
D 4225  38.80  39.89
D 4230  36.94  40.88
D 4235  36.03  41.98
D 4240  36.43  40.42
D 4245  38.35  39.45
D 4250  42.02  35.89
D 4255  42.06  33.40
D 4260  42.84  31.00
D 4265  40.81  28.53
D 4270  39.20  28.42
D 4275  37.44  28.83
D 4280  34.70  31.94
D 4285  36.35  36.27
D 4290  37.94  38.69
D 4295  38.45  39.79
D 4300  40.66  39.92
D 4305  41.22  41.09
D 4310  40.11  40.73
D 4315  38.63  39.08
D 4320  37.37  37.20
D 4325  38.95  37.67
D 4330  37.71  40.67
D 4335  37.33  41.59
D 4340  34.43  41.59
D 4345  33.43  41.42
D 4350  33.50  43.30
D 4355  34.39  41.82
D 4360  37.13  38.50
D 4365  36.85  36.03
D 4370  33.39  35.23
D 4375  32.46  36.69
D 4380  33.40  35.99
D 4385  32.45  35.40
D 4390  32.50  36.06
D 4395  31.80  37.50
D 4400  28.83  38.23
D 4405  27.89  38.30
D 4410  28.55  37.39
D 4415  29.79  37.90
D 4420  30.53  38.00
D 4425  33.14  38.40
D 4430  34.46  36.08
D 4435  36.81  35.53
D 4440  37.03  36.75
D 4445  37.04  37.77
D 4450  36.29  37.45
D 4455  34.39  40.60
D 4460  34.39  38.73
D 4465  33.94  36.31
D 4470  31.54  36.72
D 4475  29.38  35.58
D 4480  29.97  35.05
D 4485  29.84  33.45
D 4490  31.08  33.51
E 4495  32.00  34.71
